name	measure	value
2026-01-06_12:06:30	missing_topics	2.0
2026-01-06_12:06:30	rouge1(title)	0.5401055485732905
2026-01-06_12:06:30	rouge2(title)	0.25528033794162824
2026-01-06_12:06:30	rougeL(title)	0.5218195782711912
2026-01-06_12:06:30	rougeLsum(title)	0.5218195782711912
2026-01-06_12:06:30	rouge1(description)	0.3213435434855017
2026-01-06_12:06:30	rouge2(description)	0.12372338186896803
2026-01-06_12:06:30	rougeL(description)	0.2669504845051409
2026-01-06_12:06:30	rougeLsum(description)	0.28521441247438
2026-01-06_12:06:30	rouge1(combined)	0.45599787357031846
2026-01-06_12:06:30	rouge2(combined)	0.23556570733402113
2026-01-06_12:06:30	rougeL(combined)	0.38276098830548805
2026-01-06_12:06:30	rougeLsum(combined)	0.42978459366086447
2026-01-06_12:03:56	missing_topics	2.0
2026-01-06_12:03:56	rouge1(description)	0.3557965347388347
2026-01-06_12:03:56	rouge2(description)	0.13990219017321892
2026-01-06_12:03:56	rougeL(description)	0.2914801388620921
2026-01-06_12:03:56	rougeLsum(description)	0.3108259745135967
2026-01-06_12:03:56	rouge1(combined)	0.4112093516432214
2026-01-06_12:03:56	rouge2(combined)	0.20426965785776727
2026-01-06_12:03:56	rougeL(combined)	0.32262793050813704
2026-01-06_12:03:56	rougeLsum(combined)	0.37617864985156857
2026-01-05_11:37:45	missing_topics	2.0
2026-01-05_11:37:45	rouge1(title)	0.6094278033794163
2026-01-05_11:37:45	rouge2(title)	0.32768817204301076
2026-01-05_11:37:45	rougeL(title)	0.5853206605222735
2026-01-05_11:37:45	rougeLsum(title)	0.5853206605222735
2026-01-05_11:37:45	rouge1(narrative)	0.2667564901978963
2026-01-05_11:37:45	rouge2(narrative)	0.057690718421195664
2026-01-05_11:37:45	rougeL(narrative)	0.1707618897041849
2026-01-05_11:37:45	rougeLsum(narrative)	0.2239330696900636
2026-01-05_11:37:45	rouge1(combined)	0.36403847718007676
2026-01-05_11:37:45	rouge2(combined)	0.1201067373548924
2026-01-05_11:37:45	rougeL(combined)	0.26022759576196985
2026-01-05_11:37:45	rougeLsum(combined)	0.3288329177013792
2025-12-30_11:49:57	missing_topics	2.0
2025-12-30_11:49:57	rouge1(description)	0.3596121951229259
2025-12-30_11:49:57	rouge2(description)	0.14230418854442528
2025-12-30_11:49:57	rougeL(description)	0.297277396109877
2025-12-30_11:49:57	rougeLsum(description)	0.3149976233791702
2025-12-30_11:49:57	rouge1(combined)	0.37561104246677585
2025-12-30_11:49:57	rouge2(combined)	0.179941722630786
2025-12-30_11:49:57	rougeL(combined)	0.3031510798393669
2025-12-30_11:49:57	rougeLsum(combined)	0.3479247285871414
2025-12-29_20:16:23	missing_topics	2.0
2025-12-29_20:16:23	rouge1(description)	0.3536765643435875
2025-12-29_20:16:23	rouge2(description)	0.13258842774830884
2025-12-29_20:16:23	rougeL(description)	0.2921272851633996
2025-12-29_20:16:23	rougeLsum(description)	0.31136319209286156
2025-12-29_20:16:23	rouge1(narrative)	0.22126738232591817
2025-12-29_20:16:23	rouge2(narrative)	0.03299356022743658
2025-12-29_20:16:23	rougeL(narrative)	0.1382858882784257
2025-12-29_20:16:23	rougeLsum(narrative)	0.18666587451894331
2025-12-29_20:16:23	rouge1(combined)	0.3050504348528191
2025-12-29_20:16:23	rouge2(combined)	0.07370563275345739
2025-12-29_20:16:23	rougeL(combined)	0.19273337259151352
2025-12-29_20:16:23	rougeLsum(combined)	0.27728323257392706
2025-12-30_12:00:45	missing_topics	2.0
2025-12-30_12:00:45	rouge1(title)	0.578462621607783
2025-12-30_12:00:45	rouge2(title)	0.3053571428571428
2025-12-30_12:00:45	rougeL(title)	0.5508960573476703
2025-12-30_12:00:45	rougeLsum(title)	0.5508960573476703
2025-12-30_12:00:45	rouge1(narrative)	0.24820278542818108
2025-12-30_12:00:45	rouge2(narrative)	0.05956438811414499
2025-12-30_12:00:45	rougeL(narrative)	0.1779282920365571
2025-12-30_12:00:45	rougeLsum(narrative)	0.21498448567134718
2025-12-30_12:00:45	rouge1(combined)	0.33616359188625666
2025-12-30_12:00:45	rouge2(combined)	0.131660741328067
2025-12-30_12:00:45	rougeL(combined)	0.2625826075922601
2025-12-30_12:00:45	rougeLsum(combined)	0.3131420732666997
2025-12-30_11:53:10	missing_topics	3.0
2025-12-30_11:53:10	rouge1(narrative)	0.25616679263371306
2025-12-30_11:53:10	rouge2(narrative)	0.0579401157643963
2025-12-30_11:53:10	rougeL(narrative)	0.1737994508620031
2025-12-30_11:53:10	rougeLsum(narrative)	0.21592345651698713
2025-12-30_11:53:10	rouge1(combined)	0.314760379601854
2025-12-30_11:53:10	rouge2(combined)	0.1159772848962918
2025-12-30_11:53:10	rougeL(combined)	0.23196738820291357
2025-12-30_11:53:10	rougeLsum(combined)	0.2851987757875147
2026-01-05_11:36:22	missing_topics	2.0
2026-01-05_11:36:22	rouge1(title)	0.5174795186891961
2026-01-05_11:36:22	rouge2(title)	0.24840629800307218
2026-01-05_11:36:22	rougeL(title)	0.5031266001024065
2026-01-05_11:36:22	rougeLsum(title)	0.5031266001024065
2026-01-05_11:36:22	rouge1(description)	0.3201776378939237
2026-01-05_11:36:22	rouge2(description)	0.11167814213354545
2026-01-05_11:36:22	rougeL(description)	0.26401272987798435
2026-01-05_11:36:22	rougeLsum(description)	0.2805902640367276
2026-01-05_11:36:22	rouge1(combined)	0.41798923090904366
2026-01-05_11:36:22	rouge2(combined)	0.1939514412746425
2026-01-05_11:36:22	rougeL(combined)	0.3432209798977046
2026-01-05_11:36:22	rougeLsum(combined)	0.3916049612344254
2025-12-30_11:47:18	missing_topics	2.0
2025-12-30_11:47:18	rouge1(title)	0.5949884792626727
2025-12-30_11:47:18	rouge2(title)	0.3208333333333333
2025-12-30_11:47:18	rougeL(title)	0.5638248847926267
2025-12-30_11:47:18	rougeLsum(title)	0.5638248847926267
2025-12-30_11:47:18	rouge1(combined)	0.0942224060050137
2025-12-30_11:47:18	rouge2(combined)	0.031872252265408865
2025-12-30_11:47:18	rougeL(combined)	0.09075337338984217
2025-12-30_11:47:18	rougeLsum(combined)	0.09115321458191666
2025-12-30_11:56:41	missing_topics	2.0
2025-12-30_11:56:41	rouge1(title)	0.5194860471070148
2025-12-30_11:56:41	rouge2(title)	0.2556835637480799
2025-12-30_11:56:41	rougeL(title)	0.5037762416794674
2025-12-30_11:56:41	rougeLsum(title)	0.5037762416794674
2025-12-30_11:56:41	rouge1(description)	0.33044369712517285
2025-12-30_11:56:41	rouge2(description)	0.1293790730605565
2025-12-30_11:56:41	rougeL(description)	0.2801322965965897
2025-12-30_11:56:41	rougeLsum(description)	0.2970216788378839
2025-12-30_11:56:41	rouge1(combined)	0.40230650020342923
2025-12-30_11:56:41	rouge2(combined)	0.19686663249108227
2025-12-30_11:56:41	rougeL(combined)	0.340126808809945
2025-12-30_11:56:41	rougeLsum(combined)	0.38041932736921386
2026-01-06_12:07:35	missing_topics	2.0
2026-01-06_12:07:35	rouge1(title)	0.618426779313876
2026-01-06_12:07:35	rouge2(title)	0.3148425499231951
2026-01-06_12:07:35	rougeL(title)	0.5852470558115719
2026-01-06_12:07:35	rougeLsum(title)	0.5852470558115719
2026-01-06_12:07:35	rouge1(narrative)	0.2813720604216426
2026-01-06_12:07:35	rouge2(narrative)	0.06078715601001129
2026-01-06_12:07:35	rougeL(narrative)	0.18035484380784997
2026-01-06_12:07:35	rougeLsum(narrative)	0.2370262263897057
2026-01-06_12:07:35	rouge1(combined)	0.3796752179211324
2026-01-06_12:07:35	rouge2(combined)	0.13381102922109947
2026-01-06_12:07:35	rougeL(combined)	0.2759601751166864
2026-01-06_12:07:35	rougeLsum(combined)	0.34631664010436053
2025-12-29_20:08:29	missing_topics	2.0
2025-12-29_20:08:29	rouge1(title)	0.5886776753712237
2025-12-29_20:08:29	rouge2(title)	0.3263248847926267
2025-12-29_20:08:29	rougeL(title)	0.5672363031233999
2025-12-29_20:08:29	rougeLsum(title)	0.5672363031233999
2025-12-29_20:08:29	rouge1(description)	0.32308736484942974
2025-12-29_20:08:29	rouge2(description)	0.12102749740410322
2025-12-29_20:08:29	rougeL(description)	0.26729609509701796
2025-12-29_20:08:29	rougeLsum(description)	0.28511676606112024
2025-12-29_20:08:29	rouge1(combined)	0.4481542664200384
2025-12-29_20:08:29	rouge2(combined)	0.22152456201283635
2025-12-29_20:08:29	rougeL(combined)	0.3645806467890259
2025-12-29_20:08:29	rougeLsum(combined)	0.41899250079308653
2026-01-06_12:09:09	missing_topics	2.0
2026-01-06_12:09:09	rouge1(description)	0.36620575124646587
2026-01-06_12:09:09	rouge2(description)	0.1282064378686613
2026-01-06_12:09:09	rougeL(description)	0.30463760352419933
2026-01-06_12:09:09	rougeLsum(description)	0.3232711626748946
2026-01-06_12:09:09	rouge1(narrative)	0.2367553789177727
2026-01-06_12:09:09	rouge2(narrative)	0.036251480994754226
2026-01-06_12:09:09	rougeL(narrative)	0.14503160373612103
2026-01-06_12:09:09	rougeLsum(narrative)	0.20127663162149356
2026-01-06_12:09:09	rouge1(combined)	0.3161716291415445
2026-01-06_12:09:09	rouge2(combined)	0.07309848995923612
2026-01-06_12:09:09	rougeL(combined)	0.1975533088170367
2026-01-06_12:09:09	rougeLsum(combined)	0.28811064971379285
2026-01-05_11:39:14	missing_topics	2.0
2026-01-05_11:39:14	rouge1(description)	0.3343503404099589
2026-01-05_11:39:14	rouge2(description)	0.12053469489628034
2026-01-05_11:39:14	rougeL(description)	0.282012838072933
2026-01-05_11:39:14	rougeLsum(description)	0.2991869540223467
2026-01-05_11:39:14	rouge1(narrative)	0.23319576416527119
2026-01-05_11:39:14	rouge2(narrative)	0.041069268685873406
2026-01-05_11:39:14	rougeL(narrative)	0.14446107856000628
