name	measure	value
2026-01-05_11:36:22	missing_topics	2.0
2026-01-05_11:36:22	JaccardIndex(title)	0.30993663594470044
2026-01-05_11:36:22	JaccardIndex(description)	0.1524269328215301
2026-01-05_11:36:22	JaccardIndex(narrative)	0.0
2025-12-30_12:00:45	missing_topics	2.0
2025-12-30_12:00:45	JaccardIndex(title)	0.3660714285714286
2025-12-30_12:00:45	JaccardIndex(description)	0.0
2025-12-30_12:00:45	JaccardIndex(narrative)	0.10682218100456002
2025-12-29_20:16:23	missing_topics	2.0
2025-12-29_20:16:23	JaccardIndex(title)	0.0
2025-12-29_20:16:23	JaccardIndex(description)	0.1727937776948863
2025-12-29_20:16:23	JaccardIndex(narrative)	0.08851559680949288
2025-12-30_12:04:29	missing_topics	3.0
2025-12-30_12:04:29	JaccardIndex(title)	0.0
2025-12-30_12:04:29	JaccardIndex(description)	0.1513931804876431
2025-12-30_12:04:29	JaccardIndex(narrative)	0.08802025441848166
2025-12-29_20:11:51	missing_topics	2.0
2025-12-29_20:11:51	JaccardIndex(title)	0.45279857910906296
2025-12-29_20:11:51	JaccardIndex(description)	0.0
2025-12-29_20:11:51	JaccardIndex(narrative)	0.11186322536246643
2026-01-06_12:03:56	missing_topics	2.0
2026-01-06_12:03:56	JaccardIndex(title)	0.0
2026-01-06_12:03:56	JaccardIndex(description)	0.17335617762754002
2026-01-06_12:03:56	JaccardIndex(narrative)	0.0
2026-01-06_12:07:35	missing_topics	2.0
2026-01-06_12:07:35	JaccardIndex(title)	0.40019681259600615
2026-01-06_12:07:35	JaccardIndex(description)	0.0
2026-01-06_12:07:35	JaccardIndex(narrative)	0.11621350121294469
2025-12-29_20:03:41	missing_topics	3.0
2025-12-29_20:03:41	JaccardIndex(title)	0.0
2025-12-29_20:03:41	JaccardIndex(description)	0.0
2025-12-29_20:03:41	JaccardIndex(narrative)	0.10933194194457618
2025-12-29_20:00:59	missing_topics	2.0
2025-12-29_20:00:59	JaccardIndex(title)	0.0
2025-12-29_20:00:59	JaccardIndex(description)	0.18658609684251737
2025-12-29_20:00:59	JaccardIndex(narrative)	0.0
2026-01-05_11:33:15	missing_topics	2.0
2026-01-05_11:33:15	JaccardIndex(title)	0.37991551459293393
2026-01-05_11:33:15	JaccardIndex(description)	0.0
2026-01-05_11:33:15	JaccardIndex(narrative)	0.0
2025-12-30_11:56:41	missing_topics	2.0
2025-12-30_11:56:41	JaccardIndex(title)	0.30190092165898613
2025-12-30_11:56:41	JaccardIndex(description)	0.15975740011322007
2025-12-30_11:56:41	JaccardIndex(narrative)	0.0
2026-01-06_12:03:21	missing_topics	2.0
2026-01-06_12:03:21	JaccardIndex(title)	0.3963997695852534
2026-01-06_12:03:21	JaccardIndex(description)	0.0
2026-01-06_12:03:21	JaccardIndex(narrative)	0.0
2026-01-06_12:04:53	missing_topics	2.0
2026-01-06_12:04:53	JaccardIndex(title)	0.0
2026-01-06_12:04:53	JaccardIndex(description)	0.0
2026-01-06_12:04:53	JaccardIndex(narrative)	0.1112290202599593
2026-01-05_11:39:14	missing_topics	2.0
2026-01-05_11:39:14	JaccardIndex(title)	0.0
2026-01-05_11:39:14	JaccardIndex(description)	0.15552543476827516
2026-01-05_11:39:14	JaccardIndex(narrative)	0.0932808416857031
2026-01-05_11:35:11	missing_topics	2.0
2026-01-05_11:35:11	JaccardIndex(title)	0.0
2026-01-05_11:35:11	JaccardIndex(description)	0.0
2026-01-05_11:35:11	JaccardIndex(narrative)	0.11733398084664236
2025-12-30_11:47:18	missing_topics	2.0
2025-12-30_11:47:18	JaccardIndex(title)	0.3733966973886329
2025-12-30_11:47:18	JaccardIndex(description)	0.0
2025-12-30_11:47:18	JaccardIndex(narrative)	0.0
2026-01-06_12:06:30	missing_topics	2.0
2026-01-06_12:06:30	JaccardIndex(title)	0.3232798899129545
2026-01-06_12:06:30	JaccardIndex(description)	0.15221064498623102
2026-01-06_12:06:30	JaccardIndex(narrative)	0.0
2025-12-30_11:53:10	missing_topics	3.0
2025-12-30_11:53:10	JaccardIndex(title)	0.0
2025-12-30_11:53:10	JaccardIndex(description)	0.0
2025-12-30_11:53:10	JaccardIndex(narrative)	0.10902262348726995
2025-12-29_19:56:17	missing_topics	2.0
2025-12-29_19:56:17	JaccardIndex(title)	0.46117511520737325
2025-12-29_19:56:17	JaccardIndex(description)	0.0
2025-12-29_19:56:17	JaccardIndex(narrative)	0.0
2026-01-05_11:37:45	missing_topics	2.0
